sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,windspeed,winddirec,datacreationdate,unit,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
萬華,臺北市,43,,良好,0.6,0.4,47,46,13,8,17,19.4,1.9,0.2,17,"2025-05-11 14:00",,0.3,9.3,14,0,121.507972,25.046503,13
中山,臺北市,46,,良好,0.6,0.32,50,50,11,11,14,15.5,1.5,1,81,"2025-05-11 14:00",,0.3,11.4,14,0,121.526528,25.062361,12
士林,臺北市,44,,良好,1,0.27,54,48,8,8,10,11.1,0.8,1.1,173,"2025-05-11 14:00",,0.2,7.5,13,1,121.51666356,25.10334003,11
淡水,新北市,58,臭氧八小時,普通,0.6,0.24,60,57,12,9,3,3.5,0.4,2.3,10,"2025-05-11 14:00",,0.2,8.5,16,0,121.449239,25.1645,10
林口,新北市,64,臭氧八小時,普通,0.2,0.22,63,59,9,6,3,4.1,0.6,2.7,45,"2025-05-11 14:00",,0.2,7.8,10,0,121.36548982,25.07798949,9
菜寮,新北市,45,,良好,0,0.3,53,49,9,11,13,14.5,1.1,0.3,171,"2025-05-11 14:00",,0.3,10.2,12,0,121.481028,25.06895,8
新莊,新北市,51,臭氧八小時,普通,0.5,0.21,60,55,0,5,6,8,1.3,1.5,44,"2025-05-11 14:00",,0.2,8.1,7,0,121.4325,25.037972,7
板橋,新北市,45,,良好,0.6,0.31,54,49,11,8,13,14.9,1,0.4,141,"2025-05-11 14:00",,0.3,7,12,0,121.458667,25.012972,6
土城,新北市,51,臭氧八小時,普通,0.8,0.28,62,55,14,10,8,9.1,0.7,0.4,311,"2025-05-11 14:00",,0.2,11.2,14,0,121.451861,24.982528,5
新店,新北市,50,,良好,0.8,0.26,60,54,13,9,8,8.7,0.5,0.5,45,"2025-05-11 14:00",,0.2,10.2,15,0,121.537778,24.977222,4
汐止,新北市,61,臭氧八小時,普通,0.1,0.24,55,58,13,13,8,9.7,1.4,1.8,28,"2025-05-11 14:00",,0.2,14.7,16,0,121.64081,25.06624,2
基隆,基隆市,97,臭氧八小時,普通,1.1,0.22,65,69,12,9,4,5.9,1.3,1.1,84,"2025-05-11 14:00",,0.2,10.9,20,0,121.760056,25.129167,1
屏東(枋山),屏東縣,36,,良好,0.1,0.2,38,39,19,8,4,5.2,0.9,3,310,"2025-05-11 13:00",,0.1,4,15,0,120.651472,22.260899,313
臺南（南化）,臺南市,24,,良好,0,0.22,36,26,18,6,3,3.5,0.3,4.2,348,"2025-05-11 13:00",,0.2,5.7,13,0,120.44583156,23.04562013,312
新北(樹林),新北市,48,,良好,0,0.24,61,52,9,7,11,12.6,0.8,0,96,"2025-05-11 13:00",,0.2,6,10,0,121.38352778,24.94902778,311
台中市（和平區消防隊）,臺中市,22,,良好,0,0.18,30,24,1,1,3,5.5,1.6,0.4,81,"2025-05-11 13:00",,0.2,2.1,6,0,120.883858,24.174592,310
屏東(琉球),屏東縣,54,細懸浮微粒,普通,5.8,0.6,32,34,24,20,18,23.8,4.9,3.3,321,"2025-05-11 13:00",,0.4,13.5,21,0,120.37722,22.35222,204
南投（鹿谷）,南投縣,30,,良好,1,0.17,33,32,7,0,,,,0.4,13,"2025-05-11 13:00",,0.1,2.9,12,0,120.7944772,23.71867609,203
高雄(湖內),高雄市,35,,良好,0.9,0.24,33,31,22,8,8,9.9,1.6,1.1,324,"2025-05-11 13:00",,0.2,8.7,20,0,120.24535,22.87985556,202
宜蘭（三星）,宜蘭縣,31,,良好,0.4,0.21,56,34,15,13,2,2.8,0.8,0.5,92,"2025-05-11 13:00",,0.1,6.4,12,0,121.6565272,24.6757916,201
員林,彰化縣,35,,良好,0.9,0.25,37,18,7,5,6,7.2,1,2.5,55,"2025-05-11 13:00",,0.2,8.7,11,0,120.5631893,23.9615945,139
大城,彰化縣,54,臭氧八小時,普通,0.5,0.18,65,56,17,11,2,2.4,0.2,1.7,50,"2025-05-11 13:00",,0.2,10.5,23,1,120.26964167,23.85493056,85
富貴角,新北市,118,臭氧八小時,對敏感族群不健康,0.3,0.17,74,76,20,13,1,1,0,5.7,34,"2025-05-11 13:00",,0.1,13.4,35,0,121.53656894,25.29681695,84
麥寮,雲林縣,44,,良好,0.9,0.21,60,47,11,5,2,4.3,2.2,3.8,1,"2025-05-11 13:00",,0.2,9.7,17,1,120.251825,23.753506,83
關山,臺東縣,33,,良好,0.7,0.19,36,36,1,0,2,3.3,1.2,0.7,236,"2025-05-11 13:00",,0.2,4.9,9,0,121.161933,23.045083,80
馬公,澎湖縣,77,臭氧八小時,普通,1,0.21,61,63,15,8,2,3.9,1,3.9,23,"2025-05-11 13:00",,0.2,11.2,23,0,119.566158,23.569031,78
金門,金門縣,47,,良好,1,0.2,51,45,18,11,6,7.8,1,1.7,24,"2025-05-11 13:00",,0.2,11.6,23,0,118.312256,24.432133,77
馬祖,連江縣,77,臭氧八小時,普通,0.8,0.23,60,63,16,10,4,5.2,0.5,1,49,"2025-05-11 13:00",,0.2,13.2,23,0,119.952724,26.153736,75
埔里,南投縣,26,,良好,1.2,0.22,26,28,7,4,3,5.2,1.5,1.8,278,"2025-05-11 13:00",,0.1,4.7,11,1,120.967903,23.968842,72
復興,高雄市,40,,良好,0.6,0.39,37,36,25,17,13,16.5,2.8,2.2,287,"2025-05-11 13:00",,0.3,10,15,0,120.312017,22.608711,71
永和,新北市,50,,良好,0.2,0.51,47,48,21,12,21,25.2,3.3,0.5,249,"2025-05-11 13:00",,0.3,11.2,16,0,121.516306,25.017,70
竹山,南投縣,31,,良好,0.5,0.18,38,29,7,7,5,6.3,1.2,1.9,18,"2025-05-11 13:00",,0.1,7.8,16,0,120.677306,23.756389,69
中壢,桃園市,59,二氧化氮,普通,1.2,0.46,33,35,18,11,34,45.4,11.3,0.6,23,"2025-05-11 13:00",,0.4,11.1,15,1,121.221667,24.953278,68
三重,新北市,57,二氧化氮,普通,0.6,0.72,33,28,16,10,32,54.8,22.7,-,-,"2025-05-11 13:00",,0.6,12.2,15,0,121.493806,25.072611,67
冬山,宜蘭縣,40,,良好,0.4,0.22,64,43,19,9,5,6.7,1.2,2,30,"2025-05-11 13:00",,0.1,8.6,14,0,121.792928,24.632203,66
宜蘭,宜蘭縣,39,,良好,0.6,0.26,63,42,12,10,4,5.6,0.8,1.9,82,"2025-05-11 13:00",,0.1,9,9,0,121.746394,24.747917,65
陽明,臺北市,90,臭氧八小時,普通,0.2,0.23,70,67,6,2,0,1.5,0.5,4.8,350,"2025-05-11 13:00",,0.2,3.6,8,0,121.529583,25.182722,64
花蓮,花蓮縣,41,,良好,1,0.27,68,44,18,3,4,4.7,0.4,3.6,69,"2025-05-11 13:00",,0.2,4.2,13,0,121.599769,23.971306,63
臺東,臺東縣,35,,良好,0.7,0.22,39,38,11,5,4,6.3,1.7,1,68,"2025-05-11 13:00",,0.2,5.8,13,0,121.15045,22.755358,62
恆春,屏東縣,43,,良好,0.7,0.11,32,46,4,1,1,2.4,1.3,4.2,333,"2025-05-11 13:00",,0.1,5.5,10,0,120.788928,21.958069,61
潮州,屏東縣,26,,良好,0.4,0.2,33,28,19,9,4,5.3,0.8,2.1,360,"2025-05-11 13:00",,0.1,6.3,14,0,120.561175,22.523108,60
屏東,屏東縣,28,,良好,1.1,0.21,31,30,12,8,5,6.5,1.2,2.3,335,"2025-05-11 13:00",,0.2,6.4,12,0,120.488033,22.673081,59
小港,高雄市,40,,良好,0.9,0.3,42,35,20,11,11,13.9,2.1,2.8,306,"2025-05-11 13:00",,0.2,10,15,1,120.337736,22.565833,58
前鎮,高雄市,40,,良好,0.5,0.37,40,38,19,12,11,13.8,2.6,3.3,15,"2025-05-11 13:00",,0.3,10,17,0,120.30833356,22.6044507,57
前金,高雄市,40,,良好,0.2,0.28,42,40,23,11,7,9,1.5,3.2,354,"2025-05-11 13:00",,0.2,9,24,0,120.28676111,22.63390278,56
左營,高雄市,40,,良好,0.8,0.28,40,37,27,12,8,10.1,1.5,2,357,"2025-05-11 13:00",,0.2,10,19,0,120.292917,22.674861,54
楠梓,高雄市,43,,良好,1.3,0.23,40,36,20,15,6,7.5,1.2,1.4,327,"2025-05-11 13:00",,0.2,10.6,21,1,120.328289,22.733667,53
林園,高雄市,38,,良好,1.1,0.37,36,31,34,14,13,15,2,2.8,4,"2025-05-11 13:00",,0.3,8.8,23,0,120.41175,22.4795,52
大寮,高雄市,46,,良好,0.5,0.24,36,32,25,13,7,8.1,1,2.5,305,"2025-05-11 13:00",,0.2,11.5,20,0,120.425311,22.56413611,51
鳳山,高雄市,58,細懸浮微粒,普通,1.6,0.46,39,35,25,20,11,13.5,1.7,1,291,"2025-05-11 13:00",,0.4,15,20,1,120.357422,22.628126,50
仁武,高雄市,38,,良好,0.7,0.37,40,34,15,12,7,9.1,1.2,2.3,339,"2025-05-11 13:00",,0.3,9.4,15,1,120.332631,22.689056,49
橋頭,高雄市,37,,良好,0.6,0.25,42,36,25,9,5,6.9,1.5,2.5,4,"2025-05-11 13:00",,0.2,9.2,19,0,120.305689,22.757506,48
美濃,高雄市,29,,良好,0.7,0.2,32,30,10,7,2,3,0.5,0.9,335,"2025-05-11 13:00",,0.2,7.2,11,0,120.530542,22.883583,47
臺南,臺南市,45,,良好,0.6,0.21,43,38,21,13,7,8.5,1.3,2.7,10,"2025-05-11 13:00",,0.2,11.2,21,0,120.21947897,22.98928311,46
安南,臺南市,51,細懸浮微粒,普通,0.6,0.22,47,38,19,10,4,6.1,1.5,2.6,7,"2025-05-11 13:00",,0.2,12.6,20,0,120.2175,23.048197,45
善化,臺南市,40,,良好,1.2,0.22,37,32,19,12,4,5.9,1.4,3.8,8,"2025-05-11 13:00",,0.2,10,20,1,120.29740529,23.11337642,44
新營,臺南市,48,,良好,0.5,0.19,41,34,11,8,4,4.8,0.7,3.2,19,"2025-05-11 13:00",,0.2,11.9,18,0,120.31725,23.305633,43
嘉義,嘉義市,40,,良好,1.2,0.25,41,36,14,7,6,7.3,1,2.4,8,"2025-05-11 13:00",,0.2,10,18,2,120.44125148,23.46477865,42
臺西,雲林縣,47,,良好,0.8,0.2,62,51,13,6,2,2.8,0.3,5.4,25,"2025-05-11 13:00",,0.2,7.8,21,1,120.19933333,23.702175,41
朴子,嘉義縣,39,,良好,0.9,0.17,55,42,4,8,3,3.9,0.6,2.3,353,"2025-05-11 13:00",,0.1,9.5,15,1,120.2478,23.46538,40
新港,嘉義縣,37,,良好,1.5,0.2,56,40,7,7,4,5.8,0.9,4.3,17,"2025-05-11 13:00",,0.2,8.2,14,1,120.345531,23.554839,39
崙背,雲林縣,37,,良好,0.7,0.23,58,40,8,5,3,4.4,0.8,1.4,23,"2025-05-11 13:00",,0.2,7.5,14,0,120.348742,23.757547,38
斗六,雲林縣,42,,良好,0.9,0.22,50,34,10,10,3,6.3,2.3,3,350,"2025-05-11 13:00",,0.2,10.4,17,1,120.544994,23.711853,37
南投,南投縣,30,,良好,0.4,0.25,52,32,9,5,7,8.6,1.1,2.5,339,"2025-05-11 13:00",,0.2,6.9,15,0,120.685306,23.913,36
二林,彰化縣,40,,良好,0.9,0.23,61,43,21,10,2,3.2,0.6,3.3,23,"2025-05-11 13:00",,0.2,7.8,21,1,120.409653,23.925175,35
線西,彰化縣,43,,良好,0.5,0.22,63,46,7,7,5,7.3,1.3,3.9,32,"2025-05-11 13:00",,0.2,9.3,14,1,120.469061,24.131672,34
彰化,彰化縣,33,,良好,0.5,0.27,53,36,6,5,8,8.9,0.4,2.7,23,"2025-05-11 13:00",,0.2,6.5,10,0,120.541519,24.066,33
西屯,臺中市,38,,良好,0.9,0.22,63,41,12,7,3,5,1.1,3,6,"2025-05-11 13:00",,0.1,7.6,14,0,120.616917,24.162197,32
忠明,臺中市,33,,良好,1.3,0.28,57,36,6,6,5,6.3,0.8,1.6,40,"2025-05-11 13:00",,0.2,6.3,9,0,120.641092,24.151958,31
大里,臺中市,33,,良好,0.8,0.29,59,34,7,3,7,8.6,0.9,1.1,349,"2025-05-11 13:00",,0.2,8.1,12,0,120.67844444,24.09961111,30
沙鹿,臺中市,42,,良好,0.4,0.23,63,45,8,5,3,4.6,0.7,2.8,328,"2025-05-11 13:00",,0.2,6.5,16,0,120.568794,24.225628,29
豐原,臺中市,30,,良好,0.4,0.24,59,32,4,0,3,4.5,0.8,1.5,20,"2025-05-11 13:00",,0.2,5.5,12,0,120.74252414,24.25699731,28
三義,苗栗縣,33,,良好,0.6,0.21,64,36,3,3,2,4.1,1.4,3.8,15,"2025-05-11 13:00",,0.2,6.2,12,0,120.75956754,24.38248443,27
苗栗,苗栗縣,39,,良好,0.8,0.23,56,42,6,8,6,7.6,1.1,2.5,24,"2025-05-11 13:00",,0.2,8.9,12,1,120.82011468,24.56499183,26
頭份,苗栗縣,44,,良好,1.1,0.26,54,47,10,8,10,12.2,1.5,1.8,72,"2025-05-11 13:00",,0.2,10.1,14,1,120.89869286,24.69690679,25
新竹,新竹市,47,,良好,0,0.29,57,51,0,9,10,10.7,0.7,2.1,40,"2025-05-11 13:00",,0.2,10.7,12,0,120.97236752,24.8056356,24
竹東,新竹縣,37,,良好,0.3,0.24,57,40,9,4,5,7,1,0.5,45,"2025-05-11 13:00",,0.2,4.1,11,0,121.08895493,24.74091408,23
湖口,新竹縣,54,臭氧八小時,普通,0.7,0.22,63,56,13,9,4,5.4,0.7,3.1,60,"2025-05-11 13:00",,0.2,9.5,16,0,121.03886894,24.90009696,22
龍潭,桃園市,47,,良好,0.6,0.25,61,51,7,11,7,9.3,1.7,2.4,57,"2025-05-11 13:00",,0.2,8.2,10,0,121.21645772,24.86400048,21
平鎮,桃園市,49,,良好,0.4,0.31,59,53,15,10,10,10.7,0.7,1.4,83,"2025-05-11 13:00",,0.2,9.2,13,0,121.203986,24.952786,20
觀音,桃園市,64,臭氧八小時,普通,1,0.2,62,59,10,12,5,6.5,0.8,2.9,101,"2025-05-11 13:00",,0.1,13.5,17,1,121.08283092,25.03556747,19
大園,桃園市,49,,良好,1.2,0.22,63,53,18,6,8,10.3,1.4,2.5,64,"2025-05-11 13:00",,0.2,9.5,22,1,121.20251473,25.06100357,18
桃園,桃園市,51,臭氧八小時,普通,0.6,0.3,62,55,7,7,7,9,1.2,1.4,32,"2025-05-11 13:00",,0.2,9.3,12,0,121.30500531,24.9947107,17
大同,臺北市,62,二氧化氮,普通,0.9,0.93,27,28,18,12,39,63.8,24,-,-,"2025-05-11 13:00",,0.6,15.3,20,0,121.51342074,25.06331455,16
松山,臺北市,51,細懸浮微粒,普通,1.4,0.27,51,50,16,11,15,16.1,0.9,0.8,49,"2025-05-11 13:00",,0.2,12.5,16,1,121.578611,25.05,15
古亭,臺北市,50,,良好,0.7,0.27,57,54,16,10,9,10.7,1.1,0.9,108,"2025-05-11 13:00",,0.2,10.4,15,0,121.529556,25.020608,14
萬華,臺北市,44,,良好,0.7,0.37,52,47,14,11,13,14.7,1.4,1,148,"2025-05-11 13:00",,0.3,9.6,15,0,121.507972,25.046503,13
中山,臺北市,46,,良好,0.6,0.3,55,50,16,12,12,13.6,1.2,2,77,"2025-05-11 13:00",,0.3,11.2,15,0,121.526528,25.062361,12
士林,臺北市,44,,良好,1,0.29,54,47,12,7,11,12.2,1.1,1.7,156,"2025-05-11 13:00",,0.2,7.3,14,1,121.51666356,25.10334003,11
淡水,新北市,54,臭氧八小時,普通,0.7,0.23,58,56,13,5,3,3.8,0.4,2.1,10,"2025-05-11 13:00",,0.2,9.1,19,0,121.449239,25.1645,10
林口,新北市,61,臭氧八小時,普通,0.1,0.21,63,58,8,8,3,3.8,0.5,2.5,44,"2025-05-11 13:00",,0.2,8.9,11,0,121.36548982,25.07798949,9
菜寮,新北市,44,,良好,0,0.28,56,48,13,9,10,11.5,1.3,0.8,160,"2025-05-11 13:00",,0.3,10.2,13,0,121.481028,25.06895,8
新莊,新北市,50,,良好,0.6,0.18,65,54,7,7,5,6.4,1.2,1.3,50,"2025-05-11 13:00",,0.1,9.2,10,0,121.4325,25.037972,7
板橋,新北市,44,,良好,0.6,0.32,57,47,12,8,10,11.9,1,0.9,250,"2025-05-11 13:00",,0.3,7,12,0,121.458667,25.012972,6
土城,新北市,49,,良好,0.8,0.31,57,53,14,14,10,10.9,0.7,0.9,145,"2025-05-11 13:00",,0.2,11.5,14,0,121.451861,24.982528,5
新店,新北市,47,,良好,1.1,0.28,61,51,13,11,9,10.5,0.6,1.7,124,"2025-05-11 13:00",,0.2,10.2,14,0,121.537778,24.977222,4
汐止,新北市,58,細懸浮微粒,普通,0.3,0.27,55,56,14,16,10,11.7,1.4,0.8,32,"2025-05-11 13:00",,0.2,15.2,18,0,121.64081,25.06624,2
基隆,基隆市,97,臭氧八小時,普通,1.3,0.22,62,69,19,7,4,5.5,1.3,0.6,84,"2025-05-11 13:00",,0.2,11.7,21,0,121.760056,25.129167,1
屏東(枋山),屏東縣,37,,良好,0,0.19,34,40,20,5,3,4.9,0.9,2.4,292,"2025-05-11 12:00",,0.1,3.1,14,0,120.651472,22.260899,313
臺南（南化）,臺南市,24,,良好,0.1,0.22,38,26,13,7,3,3.7,0.5,4.4,2,"2025-05-11 12:00",,0.1,5.3,11,0,120.44583156,23.04562013,312
新北(樹林),新北市,47,,良好,0,0.26,58,51,14,8,13,15.2,1.3,0,209,"2025-05-11 12:00",,0.2,5.8,10,0,121.38352778,24.94902778,311
台中市（和平區消防隊）,臺中市,22,,良好,0.1,0.22,32,24,4,4,4,6.4,1.9,0.4,163,"2025-05-11 12:00",,0.2,2,7,0,120.883858,24.174592,310
屏東(琉球),屏東縣,47,,良好,3.4,0.48,36,33,23,14,12,16.1,3.3,3.4,321,"2025-05-11 12:00",,0.3,11.7,21,0,120.37722,22.35222,204
南投（鹿谷）,南投縣,31,,良好,1.1,0.18,33,34,9,3,2,3.7,1.2,0.2,20,"2025-05-11 12:00",,0.1,3.5,13,0,120.7944772,23.71867609,203
高雄(湖內),高雄市,35,,良好,1,0.25,34,30,21,10,9,11.6,2.2,0.8,4,"2025-05-11 12:00",,0.2,8.7,19,0,120.24535,22.87985556,202
宜蘭（三星）,宜蘭縣,31,,良好,0.5,0.19,46,33,7,4,1,2.7,0.9,0.4,95,"2025-05-11 12:00",,0.1,5.1,12,0,121.6565272,24.6757916,201
員林,彰化縣,40,,良好,0.9,0.23,24,15,7,4,7,8.6,1.1,3.4,42,"2025-05-11 12:00",,0.2,10,13,0,120.5631893,23.9615945,139
大城,彰化縣,49,,良好,0.5,0.19,67,53,19,9,2,2.6,0.4,3.4,33,"2025-05-11 12:00",,0.2,11.1,24,1,120.26964167,23.85493056,85
富貴角,新北市,112,臭氧八小時,對敏感族群不健康,0.2,0.16,71,74,28,11,1,1.1,0,3.4,29,"2025-05-11 12:00",,0.1,13.9,39,0,121.53656894,25.29681695,84
麥寮,雲林縣,44,,良好,0.9,0.23,59,44,15,9,2,5.2,2.3,4.5,7,"2025-05-11 12:00",,0.2,11,20,1,120.251825,23.753506,83
關山,臺東縣,32,,良好,0.6,0.19,33,35,5,2,1,2.8,1,0.6,134,"2025-05-11 12:00",,0.2,5.7,11,0,121.161933,23.045083,80
馬公,澎湖縣,77,臭氧八小時,普通,1,0.22,62,63,14,11,2,3.4,1,4.5,16,"2025-05-11 12:00",,0.2,13.3,26,0,119.566158,23.569031,78
金門,金門縣,51,細懸浮微粒,普通,1.1,0.22,43,46,27,9,8,10.2,1.2,1.7,0,"2025-05-11 12:00",,0.2,12.5,24,0,118.312256,24.432133,77
馬祖,連江縣,74,臭氧八小時,普通,0.8,0.22,62,62,21,12,4,5.3,0.5,1.3,335,"2025-05-11 12:00",,0.2,14.3,25,0,119.952724,26.153736,75
埔里,南投縣,27,,良好,1.4,0.18,27,29,9,3,2,4,1.3,2.2,277,"2025-05-11 12:00",,0.1,4.6,12,1,120.967903,23.968842,72
復興,高雄市,33,,良好,0.7,0.38,39,35,21,8,11,14.2,2.3,1.4,102,"2025-05-11 12:00",,0.2,8.3,13,0,120.312017,22.608711,71
永和,新北市,44,,良好,0,0.47,56,47,15,11,14,16.1,1.9,0.5,94,"2025-05-11 12:00",,0.3,10.8,15,0,121.516306,25.017,70
竹山,南投縣,30,,良好,0.5,0.21,30,28,19,10,5,6.7,1.2,1.8,11,"2025-05-11 12:00",,0.1,7.3,18,0,120.677306,23.756389,69
中壢,桃園市,54,二氧化氮,普通,1.1,0.43,39,37,13,11,27,34.5,6.9,0.6,329,"2025-05-11 12:00",,0.3,10.7,15,1,121.221667,24.953278,68
三重,新北市,61,二氧化氮,普通,0.7,0.99,28,29,14,10,38,71,32.1,-,-,"2025-05-11 12:00",,0.6,12,16,0,121.493806,25.072611,67
冬山,宜蘭縣,38,,良好,0.3,0.23,65,41,17,14,7,8.7,1.1,2.3,51,"2025-05-11 12:00",,0.1,8.5,14,0,121.792928,24.632203,66
宜蘭,宜蘭縣,38,,良好,0.5,0.27,62,41,8,10,4,5.8,0.9,2,62,"2025-05-11 12:00",,0.1,9.4,9,0,121.746394,24.747917,65
陽明,臺北市,87,臭氧八小時,普通,0.3,0.22,67,66,6,2,0,1.2,0.5,5.5,360,"2025-05-11 12:00",,0.2,3.7,9,0,121.529583,25.182722,64
花蓮,花蓮縣,38,,良好,0.8,0.28,64,41,10,4,4,5,0.5,2.1,81,"2025-05-11 12:00",,0.2,4.5,13,0,121.599769,23.971306,63
臺東,臺東縣,35,,良好,0.6,0.28,33,38,11,4,5,6.7,1.2,1.3,316,"2025-05-11 12:00",,0.2,6.5,14,0,121.15045,22.755358,62
恆春,屏東縣,44,,良好,0.7,0.16,40,48,8,5,1,2.1,1,0.8,346,"2025-05-11 12:00",,0.1,6.2,12,0,120.788928,21.958069,61
潮州,屏東縣,23,,良好,0.3,0.24,29,25,19,9,5,6.5,0.9,1.8,318,"2025-05-11 12:00",,0.1,5.6,13,0,120.561175,22.523108,60
屏東,屏東縣,25,,良好,1.1,0.22,30,27,16,10,4,6.2,1.3,1.3,322,"2025-05-11 12:00",,0.1,6,13,0,120.488033,22.673081,59
小港,高雄市,40,,良好,0.7,0.32,39,34,22,8,11,13.6,2,2,321,"2025-05-11 12:00",,0.2,10,14,1,120.337736,22.565833,58
前鎮,高雄市,40,,良好,0.2,0.35,42,37,21,12,9,11.7,2.5,3.3,26,"2025-05-11 12:00",,0.2,9.8,17,0,120.30833356,22.6044507,57
前金,高雄市,38,,良好,0.3,0.26,44,40,37,10,6,8.3,1.6,2.6,358,"2025-05-11 12:00",,0.2,8.4,23,0,120.28676111,22.63390278,56
左營,高雄市,39,,良好,0.8,0.27,43,36,20,13,7,8.9,1.4,2.1,352,"2025-05-11 12:00",,0.2,9.7,17,0,120.292917,22.674861,54
楠梓,高雄市,40,,良好,1.3,0.22,42,36,26,12,7,8.5,1.5,1.8,339,"2025-05-11 12:00",,0.2,10,21,1,120.328289,22.733667,53
林園,高雄市,38,,良好,1.2,0.41,31,30,32,14,16,19.2,2.8,2.2,359,"2025-05-11 12:00",,0.2,7.6,21,0,120.41175,22.4795,52
大寮,高雄市,44,,良好,0.7,0.29,36,29,21,13,8,10,1.5,1.5,298,"2025-05-11 12:00",,0.2,11,20,0,120.425311,22.56413611,51
鳳山,高雄市,54,細懸浮微粒,普通,1.3,0.56,35,33,21,19,13,15.6,2.3,1.2,283,"2025-05-11 12:00",,0.3,13.7,19,1,120.357422,22.628126,50
仁武,高雄市,35,,良好,0.4,0.37,41,33,21,11,8,10.5,1.6,2.8,339,"2025-05-11 12:00",,0.3,8.6,15,1,120.332631,22.689056,49
橋頭,高雄市,40,,良好,0.7,0.26,41,35,23,14,7,9.4,2.1,2.2,5,"2025-05-11 12:00",,0.2,9.8,18,0,120.305689,22.757506,48
美濃,高雄市,29,,良好,0.6,0.22,28,31,12,8,3,3.9,0.7,0.7,310,"2025-05-11 12:00",,0.1,6.5,12,0,120.530542,22.883583,47
臺南,臺南市,43,,良好,0.6,0.21,44,37,21,11,6,8.2,1.6,2.6,4,"2025-05-11 12:00",,0.2,10.6,21,0,120.21947897,22.98928311,46
安南,臺南市,53,細懸浮微粒,普通,0.6,0.23,45,37,15,10,5,6.2,1.1,2.6,335,"2025-05-11 12:00",,0.2,13.3,21,0,120.2175,23.048197,45
善化,臺南市,38,,良好,1.4,0.22,36,32,25,10,4,6.2,1.4,3.7,358,"2025-05-11 12:00",,0.2,9.5,20,1,120.29740529,23.11337642,44
新營,臺南市,52,細懸浮微粒,普通,0.9,0.2,41,34,19,12,5,6,0.8,2.5,22,"2025-05-11 12:00",,0.2,12.8,19,0,120.31725,23.305633,43
嘉義,嘉義市,40,,良好,2.7,0.24,40,36,13,10,7,8.3,1.1,2,23,"2025-05-11 12:00",,0.2,10,18,2,120.44125148,23.46477865,42
臺西,雲林縣,44,,良好,0.7,0.21,63,48,14,6,2,2.9,0.3,6.3,23,"2025-05-11 12:00",,0.2,9.1,23,1,120.19933333,23.702175,41
朴子,嘉義縣,45,,良好,0.9,0.17,46,40,9,8,3,3.9,0.5,2.2,345,"2025-05-11 12:00",,0.1,11.1,18,1,120.2478,23.46538,40
新港,嘉義縣,35,,良好,1.4,0.19,44,37,11,6,4,6,1.1,4.1,18,"2025-05-11 12:00",,0.2,8.8,17,1,120.345531,23.554839,39
崙背,雲林縣,34,,良好,0.7,0.23,51,37,11,4,4,5.1,0.8,1.7,17,"2025-05-11 12:00",,0.2,8.4,17,0,120.348742,23.757547,38
斗六,雲林縣,42,,良好,1,0.21,39,32,14,9,4,7.2,2.5,2.3,2,"2025-05-11 12:00",,0.2,10.5,19,1,120.544994,23.711853,37
南投,南投縣,28,,良好,0.5,0.23,34,29,13,8,7,9.8,1.9,2,357,"2025-05-11 12:00",,0.1,7,16,0,120.685306,23.913,36
二林,彰化縣,38,,良好,1.1,0.22,60,40,22,6,3,4.4,0.6,4.3,27,"2025-05-11 12:00",,0.2,8.5,23,1,120.409653,23.925175,35
線西,彰化縣,40,,良好,0.8,0.2,61,42,11,10,7,8.8,1.3,4.8,41,"2025-05-11 12:00",,0.1,10,16,1,120.469061,24.131672,34
彰化,彰化縣,31,,良好,0.4,0.27,52,33,6,5,8,9.4,0.6,2.8,34,"2025-05-11 12:00",,0.2,7.5,12,0,120.541519,24.066,33
西屯,臺中市,35,,良好,0.8,0.22,65,38,14,5,4,5.7,0.9,4,20,"2025-05-11 12:00",,0.1,8.5,14,0,120.616917,24.162197,32
忠明,臺中市,31,,良好,1,0.27,56,33,5,6,5,5.7,0.7,1.6,32,"2025-05-11 12:00",,0.2,6.5,11,0,120.641092,24.151958,31
大里,臺中市,38,,良好,0.9,0.27,49,31,7,5,7,8.6,1.4,2.2,17,"2025-05-11 12:00",,0.2,9.4,13,0,120.67844444,24.09961111,30
沙鹿,臺中市,38,,良好,0.6,0.22,63,41,11,5,4,5.1,0.5,2.4,45,"2025-05-11 12:00",,0.2,6.7,18,0,120.568794,24.225628,29
豐原,臺中市,28,,良好,0.5,0.24,51,28,7,3,4,5.1,0.7,2.1,28,"2025-05-11 12:00",,0.2,7,15,0,120.74252414,24.25699731,28
三義,苗栗縣,30,,良好,0.7,0.24,65,32,4,4,3,5.3,1.7,4.5,14,"2025-05-11 12:00",,0.2,7.2,14,0,120.75956754,24.38248443,27
苗栗,苗栗縣,37,,良好,0.8,0.24,60,40,16,8,5,6.9,1.2,2.1,29,"2025-05-11 12:00",,0.2,9,13,1,120.82011468,24.56499183,26
頭份,苗栗縣,42,,良好,1.3,0.29,57,45,14,11,8,10.3,1.4,1.8,57,"2025-05-11 12:00",,0.2,10,15,1,120.89869286,24.69690679,25
新竹,新竹市,45,,良好,0.1,0.29,58,49,17,11,10,11,0.6,2,33,"2025-05-11 12:00",,0.2,11,14,0,120.97236752,24.8056356,24
